{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38260.28', '0.00000000']], 'time': '2021-05-20T03:56:14.921638Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38304.15', '0.02400000']], 'time': '2021-05-20T03:56:14.921998Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.35', '0.00000000']], 'time': '2021-05-20T03:56:14.925980Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38294.58', '0.47880000']], 'time': '2021-05-20T03:56:14.926838Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.35', '0.02330058']], 'time': '2021-05-20T03:56:14.926856Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38335.52', '0.00000000']], 'time': '2021-05-20T03:56:14.926929Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38330.07', '0.07172821']], 'time': '2021-05-20T03:56:14.931523Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38387.64', '2.16932808']], 'time': '2021-05-20T03:56:14.931557Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38346.54', '0.05000000']], 'time': '2021-05-20T03:56:14.931677Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38442.70', '0.03810065']], 'time': '2021-05-20T03:56:14.933835Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.08', '0.02251804']], 'time': '2021-05-20T03:56:14.933848Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38359.06', '0.46596179']], 'time': '2021-05-20T03:56:14.933930Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38335.15', '0.07460000']], 'time': '2021-05-20T03:56:14.934024Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.35', '0.00000000']], 'time': '2021-05-20T03:56:14.934530Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38474.83', '0.01000000']], 'time': '2021-05-20T03:56:14.938562Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38323.08', '0.00000000']], 'time': '2021-05-20T03:56:14.941110Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38322.46', '0.00000000']], 'time': '2021-05-20T03:56:14.941139Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38335.15', '0.00000000']], 'time': '2021-05-20T03:56:14.941828Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38349.60', '0.00000000']], 'time': '2021-05-20T03:56:14.941953Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38439.35', '0.31482376']], 'time': '2021-05-20T03:56:14.943080Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38346.54', '0.00000000']], 'time': '2021-05-20T03:56:14.944274Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37535.54', '0.06948064']], 'time': '2021-05-20T03:56:14.944653Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38420.44', '0.00000000']], 'time': '2021-05-20T03:56:14.945581Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.18', '0.01492000']], 'time': '2021-05-20T03:56:14.946543Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38383.26', '0.03790087']], 'time': '2021-05-20T03:56:14.947071Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38378.70', '0.02811794']], 'time': '2021-05-20T03:56:14.947071Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.73', '0.00600000']], 'time': '2021-05-20T03:56:14.947100Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.40', '0.55400000']], 'time': '2021-05-20T03:56:14.947275Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38294.58', '0.00000000']], 'time': '2021-05-20T03:56:14.947595Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38330.07', '0.00000000']], 'time': '2021-05-20T03:56:14.947614Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38385.38', '0.00000000']], 'time': '2021-05-20T03:56:14.947657Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38673.48', '0.00000000']], 'time': '2021-05-20T03:56:14.950235Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38339.18', '0.00000000']], 'time': '2021-05-20T03:56:14.952018Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38359.07', '0.00000000']], 'time': '2021-05-20T03:56:14.953511Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38452.84', '0.00000000']], 'time': '2021-05-20T03:56:14.953693Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38318.02', '0.00000000']], 'time': '2021-05-20T03:56:14.953809Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38259.63', '0.00000000']], 'time': '2021-05-20T03:56:14.955019Z'}
